Country Code,Country,Year,Value
2,Afghanistan,2013,30552
3,Albania,2013,3173
4,Algeria,2013,39208
7,Angola,2013,21472
8,Antigua and Barbuda,2013,90
9,Argentina,2013,41446
1,Armenia,2013,2977
10,Australia,2013,23343
11,Austria,2013,8495
52,Azerbaijan,2013,9413
12,Bahamas,2013,377
16,Bangladesh,2013,156595
14,Barbados,2013,285
57,Belarus,2013,9357
255,Belgium,2013,11104
23,Belize,2013,332
53,Benin,2013,10323
17,Bermuda,2013,65
19,Bolivia (Plurinational State of),2013,10671
80,Bosnia and Herzegovina,2013,3829
20,Botswana,2013,2021
21,Brazil,2013,200362
26,Brunei Darussalam,2013,418
27,Bulgaria,2013,7223
233,Burkina Faso,2013,16935
35,Cabo Verde,2013,499
115,Cambodia,2013,15135
32,Cameroon,2013,22254
33,Canada,2013,35182
37,Central African Republic,2013,4616
39,Chad,2013,12825
40,Chile,2013,17620
96,"China, Hong Kong SAR",2013,7204
128,"China, Macao SAR",2013,566
41,"China, mainland",2013,1385567
214,"China, Taiwan Province of",2013,23330
44,Colombia,2013,48321
46,Congo,2013,4448
48,Costa Rica,2013,4872
107,Côte d'Ivoire,2013,20316
98,Croatia,2013,4290
49,Cuba,2013,11266
50,Cyprus,2013,1141
167,Czechia,2013,10702
116,Democratic People's Republic of Korea,2013,24895
54,Denmark,2013,5619
72,Djibouti,2013,873
55,Dominica,2013,72
56,Dominican Republic,2013,10404
58,Ecuador,2013,15738
59,Egypt,2013,82056
60,El Salvador,2013,6340
63,Estonia,2013,1287
238,Ethiopia,2013,94101
66,Fiji,2013,881
67,Finland,2013,5426
68,France,2013,64291
70,French Polynesia,2013,277
74,Gabon,2013,1672
75,Gambia,2013,1849
73,Georgia,2013,4341
79,Germany,2013,82727
81,Ghana,2013,25905
84,Greece,2013,11128
86,Grenada,2013,106
89,Guatemala,2013,15468
90,Guinea,2013,11745
175,Guinea-Bissau,2013,1704
91,Guyana,2013,800
93,Haiti,2013,10317
95,Honduras,2013,8096
97,Hungary,2013,9955
99,Iceland,2013,330
100,India,2013,1252140
101,Indonesia,2013,249866
102,Iran (Islamic Republic of),2013,77447
103,Iraq,2013,33765
104,Ireland,2013,4627
105,Israel,2013,7733
106,Italy,2013,60990
109,Jamaica,2013,2784
110,Japan,2013,127144
112,Jordan,2013,7274
108,Kazakhstan,2013,16441
114,Kenya,2013,44354
83,Kiribati,2013,102
118,Kuwait,2013,3369
113,Kyrgyzstan,2013,5548
120,Lao People's Democratic Republic,2013,6770
119,Latvia,2013,2050
121,Lebanon,2013,4822
122,Lesotho,2013,2074
123,Liberia,2013,4294
126,Lithuania,2013,3017
256,Luxembourg,2013,530
129,Madagascar,2013,22925
130,Malawi,2013,16363
131,Malaysia,2013,29717
132,Maldives,2013,345
133,Mali,2013,15302
134,Malta,2013,429
136,Mauritania,2013,3890
137,Mauritius,2013,1244
138,Mexico,2013,122332
141,Mongolia,2013,2839
273,Montenegro,2013,621
143,Morocco,2013,33008
144,Mozambique,2013,25834
28,Myanmar,2013,53259
147,Namibia,2013,2303
149,Nepal,2013,27797
150,Netherlands,2013,16759
153,New Caledonia,2013,256
156,New Zealand,2013,4506
157,Nicaragua,2013,6080
158,Niger,2013,17831
159,Nigeria,2013,173615
162,Norway,2013,5043
221,Oman,2013,3632
165,Pakistan,2013,182143
166,Panama,2013,3864
169,Paraguay,2013,6802
170,Peru,2013,30376
171,Philippines,2013,98394
173,Poland,2013,38217
174,Portugal,2013,10608
117,Republic of Korea,2013,49263
146,Republic of Moldova,2013,3487
183,Romania,2013,21699
185,Russian Federation,2013,142834
184,Rwanda,2013,11777
188,Saint Kitts and Nevis,2013,54
189,Saint Lucia,2013,182
191,Saint Vincent and the Grenadines,2013,109
244,Samoa,2013,190
193,Sao Tome and Principe,2013,193
194,Saudi Arabia,2013,28829
195,Senegal,2013,14133
272,Serbia,2013,9511
197,Sierra Leone,2013,6092
199,Slovakia,2013,5450
198,Slovenia,2013,2072
25,Solomon Islands,2013,561
202,South Africa,2013,52776
203,Spain,2013,46927
38,Sri Lanka,2013,21273
276,Sudan,2013,37964
207,Suriname,2013,539
209,Eswatini,2013,1250
210,Sweden,2013,9571
211,Switzerland,2013,8078
208,Tajikistan,2013,8208
216,Thailand,2013,67011
154,North Macedonia,2013,2107
176,Timor-Leste,2013,1133
217,Togo,2013,6817
220,Trinidad and Tobago,2013,1341
222,Tunisia,2013,10997
223,Turkey,2013,74933
213,Turkmenistan,2013,5240
226,Uganda,2013,37579
230,Ukraine,2013,45239
225,United Arab Emirates,2013,9346
229,United Kingdom,2013,63384
215,United Republic of Tanzania,2013,49253
231,United States of America,2013,320051
234,Uruguay,2013,3407
235,Uzbekistan,2013,28934
155,Vanuatu,2013,253
236,Venezuela (Bolivarian Republic of),2013,30405
237,Viet Nam,2013,91680
249,Yemen,2013,24407
251,Zambia,2013,14539
181,Zimbabwe,2013,14150
351,China,2013,1416667
